Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAB793GL3,432388,160,1,n/a
NDARAM675UR8,466249,170,1,n/a
NDARAN814UPR,91221,79,1,n/a
NDARAP176AD1,NaN,NaN,0,n/a
NDARBM839WR5,200757,80,1,n/a
NDARBR740NKV,120704,77,1,n/a
NDARBU607ZZ3,334891,169,1,n/a
NDARBU730PN8,117583,79,1,n/a
NDARBV680AA8,256002,77,1,n/a
NDARBX974XDR,152945,78,1,n/a
NDARCD543VK6,139583,77,1,n/a
NDARCT974NAJ,334998,154,1,n/a
NDARCU957PGQ,385242,166,1,n/a
NDARCW933FD5,120556,77,1,n/a
NDARCZ770BRG,348518,164,1,n/a
NDARDC987BMU,148898,269,1,n/a
NDARDD531EP2,338623,170,1,n/a
NDARDH270YR5,NaN,NaN,0,n/a
NDARDR067YMC,126943,76,1,n/a
NDARDT528ZZJ,337586,164,1,n/a
NDARDW741HCF,358266,152,1,n/a
NDARDZ058NZN,331202,155,1,n/a
NDAREC377AU2,336044,157,1,n/a
NDAREF893ZM8,117672,82,1,n/a
NDAREM500WWH,234139,79,1,n/a
NDAREV527ZRF,96197,79,1,n/a
NDAREV601CE7,190702,80,1,n/a
NDARFF070XHV,178107,76,1,n/a
NDARFK477WX9,350883,150,1,n/a
NDARFR108JNB,398269,149,1,n/a
NDARFT305CG1,359740,156,1,n/a
NDARFY009MNL,120121,76,1,n/a
NDARGA056TMW,375080,159,1,n/a
NDARGE946RCB,441233,174,1,n/a
NDARGG205WVN,NaN,NaN,0,n/a
NDARGH775KF5,449809,156,1,n/a
NDARGJ878ZP4,338096,154,1,n/a
NDARGV781AMW,105115,81,1,n/a
NDARHA387FPM,368787,156,1,n/a
NDARHB764VZ2,389918,152,1,n/a
NDARHM421JUP,91731,73,1,n/a
NDARHU831NXU,NaN,NaN,0,n/a
NDARJA157YB3,268706,193,1,n/a
NDARJG300HWH,122981,92,1,n/a
NDARJG488XHT,266742,152,1,n/a
NDARJM239GN4,326047,157,1,n/a
NDARJT517YHZ,NaN,NaN,0,n/a
NDARJV268PNW,115437,78,1,n/a
NDARJZ089HVP,401205,158,1,n/a
NDARKC143BEE,365277,161,1,n/a
NDARKC880ZHY,126471,78,1,n/a
NDARKG718VF7,NaN,NaN,0,n/a
NDARKH837TB2,323963,175,1,n/a
NDARKY667THK,126347,77,1,n/a
NDARLD016VCA,408842,171,1,n/a
NDARLK181GL4,268203,171,1,n/a
NDARLN070VX7,443940,155,1,n/a
NDARLP624GFH,377953,155,1,n/a
NDARMF116AFR,140133,77,1,n/a
NDARML406ZB8,191808,79,1,n/a
NDARMM326JCB,124500,84,1,n/a
NDARMP745EAC,467793,158,1,n/a
NDARMR570GJ5,175317,79,1,n/a
NDARMT064WBB,223208,73,1,n/a
NDARMT732GKM,94733,77,1,n/a
NDARMT784NED,176547,72,1,n/a
NDARMZ200GVD,547897,254,1,n/a
NDARMZ518UH1,NaN,NaN,0,n/a
NDARND348HB3,360127,161,1,n/a
NDARNU137XR4,337462,151,1,n/a
NDARNV399BV4,140492,84,1,n/a
NDARPB984UTU,413163,164,1,n/a
NDARPD517MDH,403449,190,1,n/a
NDARPH844KP2,219882,83,1,n/a
NDARPW313LAJ,NaN,NaN,0,n/a
NDARPW577WJ7,NaN,NaN,0,n/a
NDARPW635LN4,350295,169,1,n/a
NDARRB942UWU,164696,77,1,n/a
NDARRP163YRC,327128,77,1,n/a
NDARRT038VG1,349336,212,1,n/a
NDARRV480PU1,704411,73,1,n/a
NDARRY280KNW,266193,154,1,n/a
NDARRZ653HKY,107964,77,1,n/a
NDARTG035JK8,326472,158,1,n/a
NDARTK933KL9,320561,153,1,n/a
NDARTN487KDK,291947,122,1,n/a
NDARTU777GVV,331675,160,1,n/a
NDARUL456EER,331751,157,1,n/a
NDARUL945XUU,130436,77,1,n/a
NDARUP249AMD,357499,155,1,n/a
NDARUT018UYN,318428,158,1,n/a
NDARUW816MP3,422606,156,1,n/a
NDARUZ206DRV,357882,153,1,n/a
NDARVD635FX8,NaN,NaN,0,n/a
NDARVM025NCF,114516,78,1,n/a
NDARVV174JHW,370519,149,1,n/a
NDARVV199XK2,86278,82,1,n/a
NDARVY366HWJ,417208,153,1,n/a
NDARWP595TE6,219981,105,1,n/a
NDARWT389BYY,205223,78,1,n/a
NDARWT449PUN,132960,76,1,n/a
NDARWY235XNE,334062,177,1,n/a
NDARXK076XU8,166788,79,1,n/a
NDARXY745NXJ,375479,152,1,n/a
NDARYD195BDH,137507,72,1,n/a
NDARYG546ZFF,124954,91,1,n/a
NDARYL124VM6,198153,80,1,n/a
NDARYR150UDP,NaN,NaN,0,n/a
NDARYT405NET,153830,76,1,n/a
NDARYZ909VND,337037,157,1,n/a
NDARZB323LHZ,337767,166,1,n/a
NDARZD099KWW,134015,77,1,n/a
NDARZK732FZ0,336255,156,1,n/a
NDARZL855WVA,357807,156,1,n/a
NDARZW930MF2,NaN,NaN,0,n/a
NDARGZ038DRL,NaN,NaN,0,n/a
NDARHP924ZHW,NaN,NaN,0,n/a
NDARKV965WLU,NaN,NaN,0,n/a
NDARLJ356HAQ,NaN,NaN,0,n/a
NDARLU606ZDD,NaN,NaN,0,n/a
NDARNX218UY5,NaN,NaN,0,n/a
NDARRA717GYV,NaN,NaN,0,n/a
NDARAH948UF0,NaN,NaN,0,n/a
NDARAV031PPJ,NaN,NaN,0,n/a
NDARBA680RFY,NaN,NaN,0,n/a
NDARBF176LPM,NaN,NaN,0,n/a
NDARCM135DVC,NaN,NaN,0,n/a
NDARDW416KWZ,NaN,NaN,0,n/a
NDAREB662RLE,NaN,NaN,0,n/a
NDAREH074NG8,NaN,NaN,0,n/a
NDAREJ923AYR,NaN,NaN,0,n/a
NDAREM333CK5,NaN,NaN,0,n/a
NDAREY778CR9,NaN,NaN,0,n/a
NDARFD822TY5,NaN,NaN,0,n/a
NDARGB324PM1,NaN,NaN,0,n/a
NDARHJ945PV0,NaN,NaN,0,n/a
NDARHN158DC6,NaN,NaN,0,n/a
NDARHU211PYD,NaN,NaN,0,n/a
NDARHU423YXP,NaN,NaN,0,n/a
NDARHX145ZKV,NaN,NaN,0,n/a
NDARHY255FVU,NaN,NaN,0,n/a
NDARHZ255RA6,NaN,NaN,0,n/a
NDARHZ923PAH,NaN,NaN,0,n/a
NDARJD387HWG,NaN,NaN,0,n/a
NDARKE650TFQ,NaN,NaN,0,n/a
NDARKW738AMY,NaN,NaN,0,n/a
NDARNY217PLD,NaN,NaN,0,n/a
NDARTB219AJV,NaN,NaN,0,n/a
NDARTW855BPJ,NaN,NaN,0,n/a
NDARTX795AKR,NaN,NaN,0,n/a
NDARTZ926NMZ,NaN,NaN,0,n/a
NDARUL250RA6,NaN,NaN,0,n/a
NDARWV449GEM,NaN,NaN,0,n/a
NDARYZ363HP4,NaN,NaN,0,n/a
