Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAB793GL3,83900,4,1,n/a
NDARAM675UR8,82746,4,1,n/a
NDARAN814UPR,82509,4,1,n/a
NDARAP176AD1,NaN,NaN,0,n/a
NDARBM839WR5,83887,4,1,n/a
NDARBR740NKV,82302,4,1,n/a
NDARBU607ZZ3,82680,4,1,n/a
NDARBU730PN8,82272,4,1,n/a
NDARBV680AA8,82677,4,1,n/a
NDARBX974XDR,83986,4,1,n/a
NDARCD543VK6,83923,4,1,n/a
NDARCT974NAJ,82659,4,1,n/a
NDARCU957PGQ,83919,4,1,n/a
NDARCW933FD5,83772,4,1,n/a
NDARCZ770BRG,82675,4,1,n/a
NDARDC987BMU,82707,4,1,n/a
NDARDD531EP2,82680,4,1,n/a
NDARDH270YR5,NaN,NaN,0,n/a
NDARDR067YMC,83910,4,1,n/a
NDARDT528ZZJ,83194,4,1,n/a
NDARDW741HCF,83163,4,1,n/a
NDARDZ058NZN,82699,4,1,n/a
NDAREC377AU2,82665,4,1,n/a
NDAREF893ZM8,82660,4,1,n/a
NDAREM500WWH,83994,4,1,n/a
NDAREV527ZRF,132746,23,1,n/a
NDAREV601CE7,83955,4,1,n/a
NDARFF070XHV,83761,4,1,n/a
NDARFK477WX9,82706,4,1,n/a
NDARFR108JNB,82916,4,1,n/a
NDARFT305CG1,83944,4,1,n/a
NDARFY009MNL,82673,4,1,n/a
NDARGA056TMW,82688,4,1,n/a
NDARGE946RCB,82644,4,1,n/a
NDARGG205WVN,206288,5,1,n/a
NDARGH775KF5,83684,4,1,n/a
NDARGJ878ZP4,82690,4,1,n/a
NDARGV781AMW,NaN,NaN,0,n/a
NDARHA387FPM,83174,4,1,n/a
NDARHB764VZ2,82668,4,1,n/a
NDARHM421JUP,82278,4,1,n/a
NDARHU831NXU,112753,5,1,n/a
NDARJA157YB3,83440,4,1,n/a
NDARJG300HWH,82695,4,1,n/a
NDARJG488XHT,83132,4,1,n/a
NDARJM239GN4,82677,4,1,n/a
NDARJT517YHZ,NaN,NaN,0,n/a
NDARJV268PNW,82710,4,1,n/a
NDARJZ089HVP,82689,4,1,n/a
NDARKC143BEE,82655,4,1,n/a
NDARKC880ZHY,82693,4,1,n/a
NDARKG718VF7,NaN,NaN,0,n/a
NDARKH837TB2,82689,4,1,n/a
NDARKY667THK,83757,4,1,n/a
NDARLD016VCA,82675,4,1,n/a
NDARLK181GL4,83175,4,1,n/a
NDARLN070VX7,163087,48,1,n/a
NDARLP624GFH,82699,4,1,n/a
NDARMF116AFR,83934,4,1,n/a
NDARML406ZB8,82316,4,1,n/a
NDARMM326JCB,83905,4,1,n/a
NDARMP745EAC,84047,4,1,n/a
NDARMR570GJ5,161539,43,1,n/a
NDARMT064WBB,83189,4,1,n/a
NDARMT732GKM,83872,4,1,n/a
NDARMT784NED,82286,4,1,n/a
NDARMZ200GVD,83018,4,1,n/a
NDARMZ518UH1,83971,4,1,n/a
NDARND348HB3,83860,4,1,n/a
NDARNU137XR4,82686,4,1,n/a
NDARNV399BV4,83957,4,1,n/a
