Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAB793GL3,87709,4,1,n/a
NDARAM675UR8,86059,4,1,n/a
NDARAN814UPR,86044,4,1,n/a
NDARAP176AD1,NaN,NaN,0,n/a
NDARBM839WR5,86770,4,1,n/a
NDARBR740NKV,86061,4,1,n/a
NDARBU607ZZ3,86610,4,1,n/a
NDARBU730PN8,86053,4,1,n/a
NDARBV680AA8,86058,4,1,n/a
NDARBX974XDR,87795,4,1,n/a
NDARCD543VK6,87735,4,1,n/a
NDARCT974NAJ,86047,4,1,n/a
NDARCU957PGQ,87717,4,1,n/a
NDARCW933FD5,87728,4,1,n/a
NDARCZ770BRG,86062,4,1,n/a
NDARDC987BMU,86067,4,1,n/a
NDARDD531EP2,86098,4,1,n/a
NDARDH270YR5,NaN,NaN,0,n/a
NDARDR067YMC,87718,4,1,n/a
NDARDT528ZZJ,86594,4,1,n/a
NDARDW741HCF,86565,4,1,n/a
NDARDZ058NZN,86049,4,1,n/a
NDAREC377AU2,86061,4,1,n/a
NDAREF893ZM8,86036,4,1,n/a
NDAREM500WWH,87737,4,1,n/a
NDAREV527ZRF,87739,4,1,n/a
NDAREV601CE7,87727,4,1,n/a
NDARFF070XHV,86779,4,1,n/a
NDARFK477WX9,86061,4,1,n/a
NDARFR108JNB,86757,4,1,n/a
NDARFT305CG1,87742,4,1,n/a
NDARFY009MNL,86053,4,1,n/a
NDARGA056TMW,86078,4,1,n/a
NDARGE946RCB,86062,4,1,n/a
NDARGG205WVN,NaN,NaN,0,n/a
NDARGH775KF5,86097,4,1,n/a
NDARGJ878ZP4,86108,4,1,n/a
NDARGV781AMW,NaN,NaN,0,n/a
NDARHA387FPM,86086,4,1,n/a
NDARHB764VZ2,86105,4,1,n/a
NDARHM421JUP,86047,4,1,n/a
NDARHU831NXU,86135,4,1,n/a
NDARJA157YB3,86054,4,1,n/a
NDARJG300HWH,86050,4,1,n/a
NDARJG488XHT,86054,4,1,n/a
NDARJM239GN4,86055,4,1,n/a
NDARJT517YHZ,NaN,NaN,0,n/a
NDARJV268PNW,86049,4,1,n/a
NDARJZ089HVP,86056,4,1,n/a
NDARKC143BEE,86041,4,1,n/a
NDARKC880ZHY,86085,4,1,n/a
NDARKG718VF7,NaN,NaN,0,n/a
NDARKH837TB2,86061,4,1,n/a
NDARKY667THK,87502,4,1,n/a
NDARLD016VCA,86077,4,1,n/a
NDARLK181GL4,86550,4,1,n/a
NDARLN070VX7,86111,4,1,n/a
NDARLP624GFH,86046,4,1,n/a
NDARMF116AFR,86706,4,1,n/a
NDARML406ZB8,86548,4,1,n/a
NDARMM326JCB,87723,4,1,n/a
NDARMP745EAC,87731,4,1,n/a
NDARMR570GJ5,86876,4,1,n/a
NDARMT064WBB,86129,4,1,n/a
NDARMT732GKM,87778,4,1,n/a
NDARMT784NED,86102,4,1,n/a
NDARMZ200GVD,87813,4,1,n/a
NDARMZ518UH1,86725,4,1,n/a
NDARND348HB3,87696,4,1,n/a
NDARNU137XR4,86051,4,1,n/a
NDARNV399BV4,87742,4,1,n/a
NDARPB984UTU,86044,4,1,n/a
NDARPD517MDH,86784,4,1,n/a
NDARPH844KP2,86105,4,1,n/a
NDARPW313LAJ,NaN,NaN,0,n/a
NDARPW577WJ7,86043,4,1,n/a
NDARPW635LN4,86063,4,1,n/a
NDARRB942UWU,86756,4,1,n/a
NDARRP163YRC,87777,4,1,n/a
NDARRT038VG1,86091,4,1,n/a
NDARRV480PU1,NaN,NaN,0,n/a
NDARRY280KNW,86051,4,1,n/a
NDARRZ653HKY,86054,4,1,n/a
NDARTG035JK8,86076,4,1,n/a
NDARTK933KL9,86571,4,1,n/a
NDARTN487KDK,103246,5,1,n/a
NDARTU777GVV,86068,4,1,n/a
NDARUL456EER,86029,4,1,n/a
NDARUL945XUU,86742,4,1,n/a
NDARUP249AMD,86619,4,1,n/a
NDARUT018UYN,86067,4,1,n/a
NDARUW816MP3,86074,4,1,n/a
NDARUZ206DRV,86059,4,1,n/a
NDARVD635FX8,123450,5,1,n/a
NDARVM025NCF,86056,4,1,n/a
NDARVV174JHW,86046,4,1,n/a
NDARVV199XK2,NaN,NaN,0,n/a
NDARVY366HWJ,86060,4,1,n/a
NDARWP595TE6,86038,4,1,n/a
NDARWT389BYY,18287,3,0,n/a
NDARWT449PUN,86077,4,1,n/a
NDARWY235XNE,86045,4,1,n/a
NDARXK076XU8,87788,4,1,n/a
NDARXY745NXJ,86063,4,1,n/a
NDARYD195BDH,87707,4,1,n/a
NDARYG546ZFF,86064,4,1,n/a
NDARYL124VM6,86037,4,1,n/a
NDARYR150UDP,86069,4,1,n/a
NDARYT405NET,87711,4,1,n/a
