onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
31.472	n/a	15736	seqLearning_start	91	n/a	n/a	8
37.746	n/a	18873	learningBlock_1	31	n/a	n/a	8
37.778	n/a	18889	dot_no1_ON	11	n/a	n/a	8
38.368	n/a	19184	dot_no1_OFF	21	n/a	n/a	8
39.688	n/a	19844	dot_no6_ON	16	n/a	n/a	8
40.268	n/a	20134	dot_no6_OFF	26	n/a	n/a	8
41.588	n/a	20794	dot_no4_ON	14	n/a	n/a	8
42.168	n/a	21084	dot_no4_OFF	24	n/a	n/a	8
43.488	n/a	21744	dot_no2_ON	12	n/a	n/a	8
44.068	n/a	22034	dot_no2_OFF	22	n/a	n/a	8
45.388	n/a	22694	dot_no7_ON	17	n/a	n/a	8
45.968	n/a	22984	dot_no7_OFF	27	n/a	n/a	8
47.288	n/a	23644	dot_no3_ON	13	n/a	n/a	8
47.868	n/a	23934	dot_no3_OFF	23	n/a	n/a	8
49.188	n/a	24594	dot_no8_ON	18	n/a	n/a	8
49.768	n/a	24884	dot_no8_OFF	28	n/a	n/a	8
51.088	n/a	25544	dot_no5_ON	15	n/a	n/a	8
51.668	n/a	25834	dot_no5_OFF	25	n/a	n/a	8
52.988	n/a	26494	dot_no2_ON	12	n/a	n/a	8
53.568	n/a	26784	dot_no2_OFF	22	n/a	n/a	8
54.888	n/a	27444	dot_no7_ON	17	n/a	n/a	8
55.468	n/a	27734	dot_no7_OFF	27	1-6-4-2-8-5-7-2-3-5	1-6-4-2-7-3-8-5-2-7	8
116.982	n/a	58491	learningBlock_2	32	n/a	n/a	8
116.99	n/a	58495	dot_no1_ON	11	n/a	n/a	8
117.57	n/a	58785	dot_no1_OFF	21	n/a	n/a	8
118.89	n/a	59445	dot_no6_ON	16	n/a	n/a	8
119.47	n/a	59735	dot_no6_OFF	26	n/a	n/a	8
120.79	n/a	60395	dot_no4_ON	14	n/a	n/a	8
121.37	n/a	60685	dot_no4_OFF	24	n/a	n/a	8
122.69	n/a	61345	dot_no2_ON	12	n/a	n/a	8
123.27	n/a	61635	dot_no2_OFF	22	n/a	n/a	8
124.59	n/a	62295	dot_no7_ON	17	n/a	n/a	8
125.17	n/a	62585	dot_no7_OFF	27	n/a	n/a	8
126.49	n/a	63245	dot_no3_ON	13	n/a	n/a	8
127.07	n/a	63535	dot_no3_OFF	23	n/a	n/a	8
128.39	n/a	64195	dot_no8_ON	18	n/a	n/a	8
128.97	n/a	64485	dot_no8_OFF	28	n/a	n/a	8
130.29	n/a	65145	dot_no5_ON	15	n/a	n/a	8
130.87	n/a	65435	dot_no5_OFF	25	n/a	n/a	8
132.19	n/a	66095	dot_no2_ON	12	n/a	n/a	8
132.77	n/a	66385	dot_no2_OFF	22	n/a	n/a	8
134.09	n/a	67045	dot_no7_ON	17	n/a	n/a	8
134.67	n/a	67335	dot_no7_OFF	27	1-6-8-4-5-2-7-5-8-2	1-6-4-2-7-3-8-5-2-7	8
180.752	n/a	90376	learningBlock_3	33	n/a	n/a	8
180.76	n/a	90380	dot_no1_ON	11	n/a	n/a	8
181.35	n/a	90675	dot_no1_OFF	21	n/a	n/a	8
182.672	n/a	91336	dot_no6_ON	16	n/a	n/a	8
183.25	n/a	91625	dot_no6_OFF	26	n/a	n/a	8
184.57	n/a	92285	dot_no4_ON	14	n/a	n/a	8
185.15	n/a	92575	dot_no4_OFF	24	n/a	n/a	8
186.47	n/a	93235	dot_no2_ON	12	n/a	n/a	8
187.05	n/a	93525	dot_no2_OFF	22	n/a	n/a	8
188.37	n/a	94185	dot_no7_ON	17	n/a	n/a	8
188.95	n/a	94475	dot_no7_OFF	27	n/a	n/a	8
190.27	n/a	95135	dot_no3_ON	13	n/a	n/a	8
190.85	n/a	95425	dot_no3_OFF	23	n/a	n/a	8
192.17	n/a	96085	dot_no8_ON	18	n/a	n/a	8
192.75	n/a	96375	dot_no8_OFF	28	n/a	n/a	8
194.07	n/a	97035	dot_no5_ON	15	n/a	n/a	8
194.65	n/a	97325	dot_no5_OFF	25	n/a	n/a	8
195.97	n/a	97985	dot_no2_ON	12	n/a	n/a	8
196.55	n/a	98275	dot_no2_OFF	22	n/a	n/a	8
197.872	n/a	98936	dot_no7_ON	17	n/a	n/a	8
198.452	n/a	99226	dot_no7_OFF	27	1-6-4-8-7-3-5-8-2-7	1-6-4-2-7-3-8-5-2-7	8
243.394	n/a	121697	learningBlock_4	34	n/a	n/a	8
243.402	n/a	121701	dot_no1_ON	11	n/a	n/a	8
243.982	n/a	121991	dot_no1_OFF	21	n/a	n/a	8
245.302	n/a	122651	dot_no6_ON	16	n/a	n/a	8
245.882	n/a	122941	dot_no6_OFF	26	n/a	n/a	8
247.202	n/a	123601	dot_no4_ON	14	n/a	n/a	8
247.782	n/a	123891	dot_no4_OFF	24	n/a	n/a	8
249.102	n/a	124551	dot_no2_ON	12	n/a	n/a	8
249.692	n/a	124846	dot_no2_OFF	22	n/a	n/a	8
251.012	n/a	125506	dot_no7_ON	17	n/a	n/a	8
251.602	n/a	125801	dot_no7_OFF	27	n/a	n/a	8
252.924	n/a	126462	dot_no3_ON	13	n/a	n/a	8
253.502	n/a	126751	dot_no3_OFF	23	n/a	n/a	8
254.822	n/a	127411	dot_no8_ON	18	n/a	n/a	8
255.402	n/a	127701	dot_no8_OFF	28	n/a	n/a	8
256.722	n/a	128361	dot_no5_ON	15	n/a	n/a	8
257.312	n/a	128656	dot_no5_OFF	25	n/a	n/a	8
258.632	n/a	129316	dot_no2_ON	12	n/a	n/a	8
259.212	n/a	129606	dot_no2_OFF	22	n/a	n/a	8
260.532	n/a	130266	dot_no7_ON	17	n/a	n/a	8
261.112	n/a	130556	dot_no7_OFF	27	1-6-4-7-2-5-8-1-3-3	1-6-4-2-7-3-8-5-2-7	8
294.706	n/a	147353	learningBlock_5	35	n/a	n/a	8
294.714	n/a	147357	dot_no1_ON	11	n/a	n/a	8
295.294	n/a	147647	dot_no1_OFF	21	n/a	n/a	8
296.614	n/a	148307	dot_no6_ON	16	n/a	n/a	8
297.194	n/a	148597	dot_no6_OFF	26	n/a	n/a	8
298.514	n/a	149257	dot_no4_ON	14	n/a	n/a	8
299.094	n/a	149547	dot_no4_OFF	24	n/a	n/a	8
300.414	n/a	150207	dot_no2_ON	12	n/a	n/a	8
301.004	n/a	150502	dot_no2_OFF	22	n/a	n/a	8
302.324	n/a	151162	dot_no7_ON	17	n/a	n/a	8
302.904	n/a	151452	dot_no7_OFF	27	n/a	n/a	8
304.224	n/a	152112	dot_no3_ON	13	n/a	n/a	8
304.804	n/a	152402	dot_no3_OFF	23	n/a	n/a	8
306.124	n/a	153062	dot_no8_ON	18	n/a	n/a	8
306.714	n/a	153357	dot_no8_OFF	28	n/a	n/a	8
308.034	n/a	154017	dot_no5_ON	15	n/a	n/a	8
308.624	n/a	154312	dot_no5_OFF	25	n/a	n/a	8
309.944	n/a	154972	dot_no2_ON	12	n/a	n/a	8
310.524	n/a	155262	dot_no2_OFF	22	n/a	n/a	8
311.844	n/a	155922	dot_no7_ON	17	n/a	n/a	8
312.434	n/a	156217	dot_no7_OFF	27	1-6-4-2-8-3-5-8-5-7	1-6-4-2-7-3-8-5-2-7	8
356.828	n/a	178414	seqLearning_stop	50	n/a	n/a	8
358.315	n/a	179157.5	boundary	boundary	n/a	n/a	8
